"CubeId";"plimoinreg"
"PublishingDate";"2024-09-23 09:00"

"Date";"D0";"D1";"D2";"Value"
"1981";"EW";"RW";"A";"67.03839855"
"1981";"EW";"RW";"T";
"1981";"EH";"GS";"A";"72.59223862"
"1981";"EH";"GS";"T";
"1981";"EH";"RZ";"A";"73.20542954"
"1981";"EH";"RZ";"T";
"1981";"EH";"RO";"A";"67.49691512"
"1981";"EH";"RO";"T";
"1981";"EH";"RI";"A";"62.93336295"
"1981";"EH";"RI";"T";
"1981";"EH";"RN";"A";"67.16899056"
"1981";"EH";"RN";"T";
"1981";"EH";"RB0";"A";"73.74137857"
"1981";"EH";"RB0";"T";
"1981";"EH";"RS";"A";"72.2636437"
"1981";"EH";"RS";"T";
"1981";"EH";"RG0";"A";"77.4219093"
"1981";"EH";"RG0";"T";
"1981";"EH";"RW";"A";"70.28551748"
"1981";"EH";"RW";"T";
"1981";"MW";"GS";"A";"66.42455588"
"1981";"MW";"RZ";"A";"78.52305345"
"1981";"MW";"RO";"A";"67.55292346"
"1981";"MW";"RI";"A";"64.90987433"
"1981";"MW";"RN";"A";"60.73869406"
"1981";"MW";"RB0";"A";"65.59526773"
"1981";"MW";"RS";"A";"58.77637803"
"1981";"MW";"RG0";"A";"65.49574564"
"1981";"MW";"RW";"A";"50.76190705"
