Name,Sex,Age,Height,Weight,NOC,Year,Event,Medal
Estela de la Torre Borja,F,15.0,147.0,36.0,MEX,1980,Vault,none
Marine Debauve,F,15.0,156.0,42.0,FRA,2004,Vault,none
"Anna Maria ""Ans"" Dekker (-Pieters)",F,17.0,167.0,54.0,NED,1972,Vault,none
"Anna Maria ""Ans"" Dekker (-Pieters)",F,21.0,167.0,54.0,NED,1976,Vault,none
Cinzia Delisi,F,15.0,156.0,48.0,ITA,1972,Vault,none
Anne-Marie Demortire,F,22.0,158.0,56.0,FRA,1960,Vault,none
Ana Carolina Destfano,F,15.0,,,ARG,1996,Vault,none
Jennifer Diachun (-Palmer),F,15.0,165.0,57.0,CAN,1968,Vault,none
Jennifer Diachun (-Palmer),F,19.0,165.0,57.0,CAN,1972,Vault,none
Eileen Daz,F,16.0,142.0,,PUR,1996,Vault,none
Teresa Daz Sandi,F,16.0,166.0,56.0,MEX,1976,Vault,none
Jacqueline Dieudonn (Baillergeau-),F,27.0,160.0,54.0,FRA,1960,Vault,none
Cristina Doboan (-Ionia),F,21.0,164.0,53.0,ROU,1964,Vault,none
Aurelia Dobre (-Mofid),F,15.0,146.0,42.0,ROU,1988,Vault,none
Yelena Vladimirovna Dolgopolova,F,16.0,149.0,38.0,RUS,1996,Vault,none
Ivanka Peneva Dolzheva,F,16.0,162.0,60.0,BUL,1952,Vault,none
Ivanka Peneva Dolzheva,F,21.0,162.0,60.0,BUL,1956,Vault,none
Ivanka Peneva Dolzheva,F,24.0,162.0,60.0,BUL,1960,Vault,none
Carola Dombeck,F,16.0,159.0,44.0,GDR,1976,Vault,Silver
Dong Fangxiao,F,14.0,144.0,33.0,CHN,2000,Vault,none
Dorjiin Norolkhoo,F,18.0,148.0,45.0,MGL,1968,Vault,none
Zdena Dorkov,F,15.0,158.0,50.0,TCH,1972,Vault,none
Daiane Garcia dos Santos,F,21.0,145.0,45.0,BRA,2004,Vault,none
"Elissa Rebecca Louis ""Ellie"" Downie",F,17.0,162.0,60.0,GBR,2016,Vault,none
 Th Ngn Thng,F,19.0,147.0,47.0,VIE,2008,Vault,none
Vra Drazdkov,F,23.0,,,TCH,1956,Vault,none
Alena Devjan (-Coufalov),F,19.0,157.0,43.0,TCH,1988,Vault,none
Anka Drini,F,28.0,,,YUG,1952,Vault,none
Anik Ducza-Jnosi,F,18.0,161.0,57.0,HUN,1960,Vault,none
Anik Ducza-Jnosi,F,22.0,161.0,57.0,HUN,1964,Vault,none
Anik Ducza-Jnosi,F,26.0,161.0,57.0,HUN,1968,Vault,none
Diana Gnkova Dudeva,F,20.0,157.0,46.0,BUL,1988,Vault,none
Rodica Dunca (-Kszegi),F,15.0,158.0,43.0,ROU,1980,Vault,none
Ginette Durand,F,23.0,,,FRA,1952,Vault,none
Elisabetta Durelli,F,16.0,,,ITA,1952,Vault,none
Michelle Hollis Dusserre (-Farrell),F,15.0,153.0,41.0,USA,1984,Vault,none
Brygida Dziuba (-Balska),F,21.0,164.0,54.0,POL,1960,Vault,none
Anastasiya Dzyundzyak,F,17.0,,,UZB,1996,Vault,none
Gertrd Emilia Eberle (-Kollar),F,16.0,153.0,40.0,ROU,1980,Vault,none
Kameliya Eftimova,F,14.0,145.0,35.0,BUL,1980,Vault,none
Mrta Egervri (-Magyar),F,19.0,160.0,49.0,HUN,1976,Vault,none
Mrta Egervri (-Magyar),F,23.0,160.0,49.0,HUN,1980,Vault,none
Laila Solveig Egman-Andersson,F,18.0,168.0,59.0,SWE,1960,Vault,none
Laila Solveig Egman-Andersson,F,22.0,168.0,59.0,SWE,1964,Vault,none
Laila Solveig Egman-Andersson,F,26.0,168.0,59.0,SWE,1968,Vault,none
Sidsel Ekholdt (-Hilleren),F,16.0,162.0,50.0,NOR,1972,Vault,none
Naima El-Rhouati,F,20.0,,,MAR,1996,Vault,none
Monica Elisabeth Elfvin (-Nkleby),F,21.0,164.0,52.0,SWE,1960,Vault,none
Meta Elste (Neumann-),F,32.0,,,USA,1952,Vault,none
Anne-Sophie Endeler,F,16.0,152.0,49.0,FRA,2000,Vault,none
"Caroline Lynne ""Carrie"" Englert (-Zimmerman)",F,18.0,163.0,49.0,USA,1976,Vault,none
Tina Erceg,F,20.0,162.0,51.0,CRO,2008,Vault,none
Tina Erceg,F,24.0,162.0,51.0,CRO,2012,Vault,none
Bettina Ernst,F,15.0,162.0,47.0,SUI,1984,Vault,none
"Gitta Escher (-Sommer, -Wagenknecht)",F,19.0,163.0,48.0,GDR,1976,Vault,none
Margot Estvez Garca,F,16.0,153.0,35.0,ESP,1984,Vault,none
Barbara Halina Eustachiewicz-Przygoda (-Kowal),F,21.0,159.0,59.0,POL,1960,Vault,none
Barbara Halina Eustachiewicz-Przygoda (-Kowal),F,25.0,159.0,59.0,POL,1964,Vault,none
Bndicte Evrard,F,17.0,176.0,38.0,BEL,1992,Vault,none
Jennifer Exaltacion,F,16.0,152.0,41.0,CAN,1996,Vault,none
"Gabriele ""Gabi"" Fhnrich",F,20.0,155.0,46.0,GDR,1988,Vault,none
Fan Di,F,15.0,144.0,35.0,CHN,1988,Vault,none
Colette Fanara,F,26.0,,,FRA,1952,Vault,none
Christel Felgner (-Wunder),F,22.0,156.0,50.0,GER,1964,Vault,none
Cherrelle Fennell,F,17.0,157.0,52.0,GBR,2004,Vault,none
Alicia Fernndez Cortacero,F,18.0,,,ESP,1992,Vault,none
Mara Luisa Fernndez Miranda,F,17.0,,,ESP,1960,Vault,none
"Gertrude ""Gerti"" Fesl",F,20.0,,,AUT,1952,Vault,none
Danuta Fidusiewicz-Prusinowska,F,20.0,166.0,55.0,POL,1972,Vault,none
Tatiana Figueirdo,F,16.0,157.0,44.0,BRA,1984,Vault,none
Mariya Yevgenyevna Filatova (-Kurbatova),F,14.0,136.0,30.0,URS,1976,Vault,none
Mariya Yevgenyevna Filatova (-Kurbatova),F,19.0,136.0,30.0,URS,1980,Vault,none
Dimitrinka Filipova,F,14.0,148.0,37.0,BUL,1980,Vault,none
Kyriaki Firinidou,F,15.0,155.0,42.0,GRE,1996,Vault,none
Erika Flander,F,15.0,144.0,35.0,HUN,1980,Vault,none
Barbara Kay Fletcher (-Evans),F,21.0,158.0,51.0,AUS,1964,Vault,none
Mylne Fleury,F,17.0,154.0,52.0,CAN,1992,Vault,none
Mara Ins Flores-Wurmser,F,17.0,152.0,46.0,GUA,1988,Vault,none
Dianne Rena Foote (-Moreland),F,17.0,167.0,,NZL,1972,Vault,none
Klra Frstner,F,18.0,158.0,52.0,HUN,1960,Vault,none
"Ingrid Fst (Michaelis-, -Lehmann)",F,25.0,160.0,50.0,GER,1960,Vault,none
"Ingrid Fst (Michaelis-, -Lehmann)",F,29.0,160.0,50.0,GER,1964,Vault,none
Cristina Fraguas Snchez,F,16.0,,,ESP,1992,Vault,none
Sonia Fraguas Snchez,F,14.0,,,ESP,1992,Vault,none
"Ingeborg ""Ing"" Fraser (Haussler-)",F,,,,AUS,1956,Vault,none
Patrizia Fratini,F,14.0,160.0,46.0,ITA,1976,Vault,none
Monique Freres,F,19.0,152.0,48.0,BEL,1976,Vault,none
Limor Fridman,F,16.0,162.0,46.0,ISR,1984,Vault,none
Kthi Fritschi,F,18.0,157.0,44.0,SUI,1972,Vault,none
"Pieternella ""Nel"" Fritz (-Zandee)",F,23.0,167.0,59.0,NED,1960,Vault,none
Doris Gudrun Fuchs (-Brause),F,18.0,152.0,54.0,USA,1956,Vault,none
