Rank,Athlete,Nation,D,E,ND,Total,year,round
7,ryan oehrlein,CAN,6.1,8.0,0.0,14.1,2019.0,qual
8,kazuya takahashi,JPN,6.2,7.833,0.0,14.033,2019.0,qual
9,ahmet önder,TUR,5.8,8.0,0.0,13.8,2019.0,qual
10,federico molinari,ARG,5.9,7.666,0.0,13.566,2019.0,qual
11,casimir schmidt,NED,5.7,7.666,0.0,13.366,2019.0,qual
12,daniel villafane,ARG,5.9,7.466,0.0,13.366,2019.0,qual
13,samir aït saïd,FRA,5.8,7.2,0.0,13.0,2019.0,qual
14,hung shih-tung,none,4.9,7.6,0.0,12.5,2019.0,qual
15,michael tone,AUS,5.0,7.1,0.0,12.1,2019.0,qual
16,wei an terry tay,SIN,4.3,4.466,0.0,8.766,2019.0,qual
1,alex diab,USA,5.8,8.8,0.0,29.45,2020.0,final
1,alex diab,USA,5.8,9.05,0.0,29.45,2020.0,final
2,marvin kimble,USA,5.8,8.4,0.0,28.8,2020.0,final
2,marvin kimble,USA,5.8,8.8,0.0,28.8,2020.0,final
3,sean melton,USA,5.8,8.6,0.0,28.35,2020.0,final
3,sean melton,USA,5.8,8.15,0.0,28.35,2020.0,final
4,colin van wicklen,USA,5.7,8.45,0.0,28.3,2020.0,final
4,colin van wicklen,USA,5.7,8.45,0.0,28.3,2020.0,final
5,yul moldauer,USA,5.7,8.2,0.0,28.0,2020.0,final
5,yul moldauer,USA,5.7,8.4,0.0,28.0,2020.0,final
6,cameron bock,USA,5.3,8.75,0.0,27.95,2020.0,final
6,cameron bock,USA,5.3,8.6,0.0,27.95,2020.0,final
7,ian gunther,USA,5.3,8.7,0.0,27.9,2020.0,final
7,ian gunther,USA,5.3,8.6,0.0,27.9,2020.0,final
8,paul juda,USA,5.1,8.5,0.0,26.95,2020.0,final
8,paul juda,USA,5.1,8.25,0.0,26.95,2020.0,final
9,akash modi,USA,5.2,7.6,0.0,26.85,2020.0,final
9,akash modi,USA,5.6,8.45,0.0,26.85,2020.0,final
9,matt wenske,USA,5.4,8.25,0.0,26.85,2020.0,final
9,matt wenske,USA,5.4,7.8,0.0,26.85,2020.0,final
11,isaiah drake,USA,5.3,8.2,0.0,26.75,2020.0,final
11,isaiah drake,USA,5.3,7.95,0.0,26.75,2020.0,final
12,timothy wang,USA,5.5,7.6,0.0,26.45,2020.0,final
12,timothy wang,USA,5.5,7.85,0.0,26.45,2020.0,final
13,colt walker,USA,4.9,8.1,0.0,26.4,2020.0,final
13,colt walker,USA,4.9,8.5,0.0,26.4,2020.0,final
14,nicolas kuebler,USA,4.5,8.6,0.0,26.0,2020.0,final
14,nicolas kuebler,USA,4.5,8.4,0.0,26.0,2020.0,final
15,kiwan watts,USA,4.7,8.05,0.0,25.85,2020.0,final
15,kiwan watts,USA,4.7,8.4,0.0,25.85,2020.0,final
